-0.0,0.0,-128.5,175,175,175
-0.8,0.5,-129.0,175,175,176
-1.6,0.9,-129.6,175,175,177
-2.5,1.4,-130.1,175,175,178
-3.3,1.9,-130.6,175,175,179
-4.2,2.4,-131.1,175,175,180
-5.1,2.9,-131.7,175,175,181
-6.0,3.4,-132.2,175,175,182
-6.9,4.0,-132.7,175,175,183
-7.8,4.5,-133.2,175,175,184
0.8,0.5,-129.0,175,176,175
0.0,0.9,-129.6,175,176,176
-0.8,1.4,-130.1,175,176,177
-1.7,1.9,-130.6,175,176,178
-2.5,2.4,-131.2,175,176,179
-3.4,2.9,-131.7,175,176,180
-4.3,3.4,-132.2,175,176,181
-5.1,3.9,-132.7,175,176,182
-6.0,4.5,-133.3,175,176,183
-7.0,5.0,-133.8,175,176,184
1.6,0.9,-129.6,175,177,175
0.8,1.4,-130.1,175,177,176
0.0,1.9,-130.6,175,177,177
-0.8,2.4,-131.2,175,177,178
-1.7,2.9,-131.7,175,177,179
-2.6,3.4,-132.2,175,177,180
-3.4,3.9,-132.8,175,177,181
-4.3,4.4,-133.3,175,177,182
-5.2,5.0,-133.8,175,177,183
-6.1,5.5,-134.4,175,177,184
2.5,1.4,-130.1,175,178,175
1.7,1.9,-130.6,175,178,176
0.8,2.4,-131.2,175,178,177
-0.0,2.9,-131.7,175,178,178
-0.9,3.4,-132.3,175,178,179
-1.7,3.9,-132.8,175,178,180
-2.6,4.4,-133.3,175,178,181
-3.5,5.0,-133.9,175,178,182
-4.4,5.5,-134.4,175,178,183
-5.3,6.0,-134.9,175,178,184
3.3,1.9,-130.6,175,179,175
2.5,2.4,-131.2,175,179,176
1.7,2.9,-131.7,175,179,177
0.9,3.4,-132.3,175,179,178
0.0,3.9,-132.8,175,179,179
-0.9,4.4,-133.3,175,179,180
-1.7,4.9,-133.9,175,179,181
-2.6,5.5,-134.4,175,179,182
-3.5,6.0,-135.0,175,179,183
-4.5,6.6,-135.5,175,179,184
4.2,2.4,-131.1,175,180,175
3.4,2.9,-131.7,175,180,176
2.6,3.4,-132.2,175,180,177
1.7,3.9,-132.8,175,180,178
0.9,4.4,-133.3,175,180,179
0.0,4.9,-133.9,175,180,180
-0.9,5.5,-134.4,175,180,181
-1.8,6.0,-135.0,175,180,182
-2.7,6.5,-135.5,175,180,183
-3.6,7.1,-136.1,175,180,184
5.1,2.9,-131.7,175,181,175
4.3,3.4,-132.2,175,181,176
3.4,3.9,-132.8,175,181,177
2.6,4.4,-133.3,175,181,178
1.7,4.9,-133.9,175,181,179
0.9,5.5,-134.4,175,181,180
0.0,6.0,-135.0,175,181,181
-0.9,6.5,-135.6,175,181,182
-1.8,7.1,-136.1,175,181,183
-2.7,7.6,-136.7,175,181,184
6.0,3.4,-132.2,175,182,175
5.1,3.9,-132.7,175,182,176
4.3,4.4,-133.3,175,182,177
3.5,5.0,-133.9,175,182,178
2.6,5.5,-134.4,175,182,179
1.8,6.0,-135.0,175,182,180
0.9,6.5,-135.6,175,182,181
-0.0,7.1,-136.1,175,182,182
-0.9,7.6,-136.7,175,182,183
-1.8,8.2,-137.2,175,182,184
6.9,4.0,-132.7,175,183,175
6.0,4.5,-133.3,175,183,176
5.2,5.0,-133.8,175,183,177
4.4,5.5,-134.4,175,183,178
3.5,6.0,-135.0,175,183,179
2.7,6.5,-135.5,175,183,180
1.8,7.1,-136.1,175,183,181
0.9,7.6,-136.7,175,183,182
0.0,8.2,-137.2,175,183,183
-0.9,8.8,-137.8,175,183,184
7.8,4.5,-133.2,175,184,175
7.0,5.0,-133.8,175,184,176
6.1,5.5,-134.4,175,184,177
5.3,6.0,-134.9,175,184,178
4.5,6.6,-135.5,175,184,179
3.6,7.1,-136.1,175,184,180
2.7,7.6,-136.7,175,184,181
1.8,8.2,-137.2,175,184,182
0.9,8.8,-137.8,175,184,183
-0.0,9.3,-138.4,175,184,184
0.0,-0.9,-129.0,176,175,175
-0.8,-0.5,-129.6,176,175,176
-1.6,0.0,-130.1,176,175,177
-2.5,0.5,-130.6,176,175,178
-3.3,1.0,-131.2,176,175,179
-4.2,1.5,-131.7,176,175,180
-5.1,2.0,-132.2,176,175,181
-6.0,2.5,-132.7,176,175,182
-6.9,3.0,-133.3,176,175,183
-7.8,3.5,-133.8,176,175,184
0.8,-0.5,-129.6,176,176,175
0.0,-0.0,-130.1,176,176,176
-0.8,0.5,-130.6,176,176,177
-1.7,1.0,-131.2,176,176,178
-2.5,1.5,-131.7,176,176,179
-3.4,2.0,-132.2,176,176,180
-4.3,2.5,-132.8,176,176,181
-5.2,3.0,-133.3,176,176,182
-6.1,3.5,-133.8,176,176,183
-7.0,4.0,-134.4,176,176,184
1.6,0.0,-130.1,176,177,175
0.8,0.5,-130.6,176,177,176
0.0,1.0,-131.2,176,177,177
-0.8,1.4,-131.7,176,177,178
-1.7,1.9,-132.3,176,177,179
-2.6,2.5,-132.8,176,177,180
-3.4,3.0,-133.3,176,177,181
-4.3,3.5,-133.9,176,177,182
-5.2,4.0,-134.4,176,177,183
-6.2,4.5,-135.0,176,177,184
2.5,0.5,-130.6,176,178,175
1.7,1.0,-131.2,176,178,176
0.8,1.4,-131.7,176,178,177
-0.0,1.9,-132.3,176,178,178
-0.9,2.4,-132.8,176,178,179
-1.7,3.0,-133.4,176,178,180
-2.6,3.5,-133.9,176,178,181
-3.5,4.0,-134.5,176,178,182
-4.4,4.5,-135.0,176,178,183
-5.3,5.1,-135.5,176,178,184
3.3,1.0,-131.2,176,179,175
2.5,1.5,-131.7,176,179,176
